"x","y","z","z_noisy","z_constrained","x_grad","y_grad","x_grad_noisy","y_grad_noisy"
-2.92929292929293,-10,1302.56035098459,1305.76583989385,NA,-31.6008570554022,-29.756147331905,-49.4391115362189,-6.99493974156167
-2.72727272727273,-10,1273.00826446281,1291.46143391624,NA,-31.2743597592082,-29.3480257116619,-29.4636154951179,-25.0714544442123
-2.52525252525253,-10,1243.86429956127,1255.62293100542,NA,-30.9478624630142,-28.9399040914192,-43.3974044804904,-42.0747037977767
-2.32323232323232,-10,1215.12845627997,1207.31202632068,NA,-30.6213651668199,-28.5317824711766,-37.1713426295944,-38.0906414061534
-2.12121212121212,-10,1186.80073461892,1179.44164819312,NA,-30.2948678706255,-28.1236608509337,-50.4403344737743,-18.0333862991147
-1.91919191919192,-10,1158.8811345781,1171.24525372245,NA,-29.9683705744312,-27.7155392306908,-29.7032956917567,-22.2933698208822
-1.71717171717172,-10,1131.36965615753,1134.85490855135,NA,-29.6418732782367,-27.3074176104478,-35.1718635339662,-49.2009602154156
-1.51515151515152,-10,1104.26629935721,1072.84333329162,NA,-29.3153759820427,-26.899295990205,-26.2906247588119,-28.7392554847389
-1.31313131313131,-10,1077.57106417712,1077.37639758187,NA,-28.9888786858485,-26.4911743699623,-42.7794767740543,-17.8860353688118
-1.11111111111111,-10,1051.28395061728,1037.071262554,NA,-28.662381389654,-26.0830527497194,15.8383959213743,-17.4909647422264
-0.90909090909091,-10,1025.40495867769,1042.39446809742,NA,-28.3358840934598,-25.6749311294765,-59.2134047083151,-21.2952265696636
-0.707070707070708,-10,999.934088358331,994.480809414671,NA,-28.0093867972656,-25.2668095092337,-21.2310681413367,-29.1498066763461
-0.505050505050505,-10,974.871339659219,984.094854744728,NA,-27.6828895010714,-24.8586878889909,-19.4022267666917,-38.3497473147467
-0.303030303030303,-10,950.216712580349,917.781314785178,NA,-27.3563922048774,-24.4505662687482,-22.270734436014,-35.4270062848435
-0.1010101010101,-10,925.970207121722,913.240842175041,NA,-27.0298949086828,-24.0424446485053,-12.2542859885574,-12.4827870515429
0.1010101010101,-10,902.131823283338,892.815740682092,NA,-26.7033976124885,-23.6343230282624,-4.60816226339261,-6.29827716358187
0.303030303030303,-10,878.701561065197,900.644287847877,NA,-26.3769003162943,-23.2262014080196,-57.5412835358763,-7.9031980761705
0.505050505050505,-10,855.679420467299,877.009344529751,NA,-26.0504030201,-22.8180797877768,-52.2659567491933,-31.0671323129081
0.707070707070708,-10,833.065401489644,838.510023222061,NA,-25.7239057239059,-22.4099581675338,-40.4366323215924,-50.6874528009719
0.909090909090908,-10,810.859504132232,775.634438927807,NA,-25.3974084277118,-22.0018365472911,2.03155259236155,-8.53222441684164
1.11111111111111,-10,789.061728395062,821.445574388378,NA,-25.0709111315171,-21.5937149270484,-104.627029361211,-2.38559950691825
1.31313131313131,-10,767.672074278135,770.863239913971,NA,-24.7444138353228,-21.1855933068054,-23.209128479231,-30.9056569735906
1.51515151515152,-10,746.690541781451,759.634260441196,NA,-24.4179165391288,-20.7774716865625,-9.4353252973217,-31.5240965711766
1.71717171717172,-10,726.11713090501,707.815046771618,NA,-24.0914192429344,-20.3693500663197,17.7703898548418,-25.4061374453007
1.91919191919192,-10,705.951841648811,708.821985550595,NA,-23.7649219467402,-19.961228446077,-47.4325830502455,-14.1231374653556
2.12121212121212,-10,686.194674012856,679.568771840906,NA,-23.4384246505459,-19.5531068258342,-19.1327929138474,7.39139187049255
2.32323232323232,-10,666.845627997143,723.60476929158,NA,-23.1119273543516,-19.1449852055913,-95.2260080060292,-1.3363242406042
2.52525252525252,-10,647.904703601673,676.896123359698,NA,-22.7854300581572,-18.7368635853484,-44.2584399006666,-43.5644388102481
2.72727272727273,-10,629.371900826446,636.475891671084,NA,-22.4589327619631,-18.3287419651056,-10.2569590443969,-30.2166269538825
2.92929292929293,-10,611.247219671462,616.462869451933,NA,-22.1324354657689,-17.9206203448628,18.1792317609413,-10.1109291404912
3.13131313131313,-10,593.530660136721,616.254033390101,NA,-21.8059381695746,-17.5124987246201,-65.2842808456825,-32.3769092753016
3.33333333333333,-10,576.222222222222,551.70905090133,NA,-21.4794408733801,-17.1043771043771,-34.3387519941734,-26.3960733513613
3.53535353535353,-10,559.321905927967,563.461886687379,NA,-21.1529435771859,-16.6962554841342,-37.8926739652339,-13.1916337854598
3.73737373737374,-10,542.829711253954,525.32578333041,NA,-20.8264462809918,-16.2881338638914,-0.92599022023694,-25.0782125837122
3.93939393939394,-10,526.745638200184,513.305461519954,NA,-20.4999489847977,-15.8800122436487,3.66075312647342,-7.72090385642809
4.14141414141414,-10,511.069686766656,509.883975617554,NA,-20.1734516886032,-15.4718906234058,-15.2038161034833,-18.6194358397022
4.34343434343434,-10,495.801856953372,476.06658984055,NA,-19.846954392409,-15.0637690031629,-18.6359415984883,-9.19153751583369
4.54545454545454,-10,480.942148760331,491.500900585887,NA,-19.5204570962146,-14.6556473829202,-11.0545827614779,0.639267320312825
4.74747474747475,-10,466.490562187532,477.345124481176,NA,-19.1939598000204,-14.2475257626772,-43.1102431450861,-25.674712144366
4.94949494949495,-10,452.447097234976,440.151476297155,NA,-18.8674625038263,-13.8394041424344,-36.8148474200812,-38.9474692652815
